criado_em;atualizado_em;hora_aula_id;disciplina_id;turma_id
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;10;2;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;11;2;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;12;3;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;13;6;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;14;5;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;15;5;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;25;10;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;26;10;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;27;4;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;28;6;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;29;5;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;30;1;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;40;2;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;41;2;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;42;10;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;43;6;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;44;1;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;45;1;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;55;2;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;56;2;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;57;1;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;58;6;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;59;1;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;60;9;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;70;8;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;71;4;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;72;3;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;73;6;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;74;3;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;75;9;16
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;79;7;16
