criado_em;atualizado_em;hora_aula_id;disciplina_id;turma_id
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;1;1;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;2;1;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;3;2;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;4;6;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;5;8;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;6;10;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;16;5;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;17;5;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;18;2;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;19;6;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;20;3;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;21;3;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;31;3;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;32;1;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;33;1;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;34;6;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;35;9;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;36;5;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;46;2;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;47;2;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;48;10;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;49;6;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;50;10;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;51;4;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;61;1;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;62;2;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;63;2;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;64;6;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;65;9;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;66;4;11
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;80;7;11
