criado_em;atualizado_em;hora_aula_id;disciplina_id;turma_id
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;1;5;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;2;2;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;3;2;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;4;6;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;5;3;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;6;3;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;16;2;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;17;2;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;18;1;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;19;6;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;20;9;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;21;10;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;31;5;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;32;5;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;33;2;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;34;6;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;35;10;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;36;10;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;46;1;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;47;1;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;48;8;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;49;6;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;50;4;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;51;2;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;61;4;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;62;9;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;63;3;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;64;6;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;65;1;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;66;1;8
2024-04-13 15:45:39+00;2024-04-13 15:45:39+00;38;7;8
